name,price,imageUrl
Waving peace flag,1800,http://www.ringostarrart.com/wp-content/uploads/2018/08/Peace-Flag-18-1-300x300.jpg
3 Ringo's,2400,http://www.ringostarrart.com/wp-content/uploads/2018/08/Three-Ringo-1-300x300.jpg
Knotted peace gun,3000,http://www.ringostarrart.com/wp-content/uploads/2018/08/Double-Peace-Guns-1-300x300.jpg
